tweet,date_time
"They walked. You talked.

Check out the highlights from last night's #GoldenGlobes https://t.co/rPhcjwPbHd",09/01/2017 19:55
@SheaSerrano Toushea.,09/01/2017 01:32
"All the action starts NOW! 

Watch the #GoldenGlobes Red Carpet streaming LIVE on Twitter! https://t.co/9z4F3X3QUd",08/01/2017 23:03
"Walk with the stars. Talk with the stars.

The #GoldenGlobes Red Carpet streams LIVE tonight, right here on Twitter. https://t.co/9z4F3X3QUd",08/01/2017 17:04
"Catch the party before the party. 🎉

The #GoldenGlobes Red Carpet streams LIVE tomorrow, right here on Twitter! https://t.co/9z4F3X3QUd",07/01/2017 19:31
"Step and repeat. Tweet and Retweet.

The Golden Globes Red Carpet streams LIVE this Sunday on Twitter. https://t.co/9z4F3X3QUd",07/01/2017 01:23
@MissKlept 😍,07/01/2017 01:16
@rainnwilson Are we talking “Taken” Liam Neeson or “Love Actually” Liam Neeson? The linguistic styles vary significantly.,07/01/2017 01:16
@sunriseaaron Fangirling zone is a judgement free zone. https://t.co/I6P7PApU6U,07/01/2017 01:16
@ValaAfshar @naval Ideas ➡️ conversations ➡️ relationships.,07/01/2017 01:15
@UniversalORL @leosponytail https://t.co/ccNGlFBf0F,06/01/2017 22:53
"It's all happening! ✨

Get ready to share your reactions this Sunday as the #GoldenGlobes Red Carpet streams LIVE o… https://t.co/Gu7o6sn3L6",06/01/2017 18:29
@SkylerJohnson 🙌 https://t.co/UWXszKHPZh,06/01/2017 03:46
@ThatDamnYank Guess you could call it... a Twitterccino. 😏 https://t.co/nigSHXJfAX,06/01/2017 03:45
"@Agony Suhhh.
https://t.co/JNOMJfGwgZ",06/01/2017 03:43
"@MissKlept A beautiful family, a beautiful message, and a very happy birthday to your daughter. ❤️",06/01/2017 03:41
#NationalBirdDay #TBT https://t.co/eROB3MH18t,05/01/2017 21:25
"Use #AskGlobes to hear your questions answered during the #GoldenGlobes Red Carpet, streaming LIVE on Twitter!

https://t.co/9z4F3X3QUd",05/01/2017 17:21
@lenoro22 Twitter school is in session. 😉,05/01/2017 01:57
@MadiLAlexander @TonyinOKC Sliding into a relationship like... https://t.co/xj4MWODLte,05/01/2017 01:56
"@StarTrek @WilliamShatner Enjoy your time on the bridge, Captain. https://t.co/BgEghtsJwP",05/01/2017 01:54
"@TheAlexNevil The plot, the character development, the dialogue — this is one of the best bedtime stories we’ve ever read. 😉",05/01/2017 01:53
"@De_Li_Yang New year, new us. 😎",05/01/2017 01:09
"What'd you do over the holidays?

Turn your memories into a Moment in time, and share yours with #HolidayMoments! https://t.co/8wAkuUuLSh",04/01/2017 22:14
"The red carpet will be a little more golden. 

Watch the #GoldenGlobes Red Carpet LIVE on Twitter this Sunday! https://t.co/9z4F3XlsiN",04/01/2017 20:36
@KimKardashian ❤️,04/01/2017 01:55
"@kamerynrenee *Opens Twitter, sees 10,000+ RTs* https://t.co/0vT49BohET",04/01/2017 01:55
@katy_red This could be the start to a beautiful modern day love story. 😍 https://t.co/xgVJZ0OTzC,04/01/2017 01:54
@jgrimesbaylor Nice.,04/01/2017 01:53
@_David_Edward The purveyor of fine GIFs meets #Stickers. Let the fun begin!,04/01/2017 01:53
"Join the @verge at #CES2017 for a peek into the latest in gadgets and tech!

LIVE this week on Twitter at 7:30 ET. 👇
https://t.co/FdGWcWcAGi",03/01/2017 21:42
"Walk the red carpet, wherever you are.

Watch the #GoldenGlobes Red Carpet LIVE right here on Twitter! https://t.co/mcCZ9S04ga",03/01/2017 20:24
"#CES2017 is streaming LIVE on Twitter this week with the @verge!
https://t.co/Xc5bLIuE8L",03/01/2017 14:23
"@waynebrady And a happy belated New Year to you too. 2017, let's goooo! 🙌",03/01/2017 01:42
@JakeBrand33 Straight fire 🔥,03/01/2017 01:40
@AmazingPhil Dat face swap doe. 😍,03/01/2017 01:40
"@PaperRobot It’s a masterpiece, an absolute masterpiece.",03/01/2017 01:40
You write the story of 2017. #HappyNewYear https://t.co/cyvz6VvQ3n,01/01/2017 03:31
"Big Ben's hand is on the 12. It's time to celebrate! #HappyNewYear

https://t.co/YiQ3FHpaPx",01/01/2017 00:05
“To sit back and let fate play its hand out and never influence it is not the way man was meant to operate.” https://t.co/U7cUApqcz7,31/12/2016 23:30
"""Don’t count the days; make the days count."" https://t.co/uiedUxLbg4",31/12/2016 22:37
"""Despite everything, no one can dictate who you are to other people."" https://t.co/Vw9cZsFGqI",31/12/2016 21:32
"""The truth is of course is that there is no journey. We are arriving and departing all at the same time.” https://t.co/BiTUBTADF1",31/12/2016 20:31
"In 2016, #ThisHappened https://t.co/6pZjo8fylG",31/12/2016 18:26
"From Rio to Euro and everything in between. These were the most talked about trends around the globe in 2016.
https://t.co/LQJNkKE8of",31/12/2016 17:34
@SurfBelle2 Always and forever.,30/12/2016 23:28
@clemmiewessonxo Was it love at first Tweet? https://t.co/ewnEtnbtxu,30/12/2016 23:17
@MoonglowMendes Do you really love @ShawnMendes more than pizza? Because that’s a bold statement.,30/12/2016 23:15
@smcfarris That’s the beauty of this community. Everyone has a unique story to tell.,30/12/2016 23:15
"@adinkolansky A fam that Tweets together, stays together.",30/12/2016 23:12
@AndreaMjaraa This thread. 🙌,30/12/2016 23:11
@tg_stay_humble We got you fam. 😎,29/12/2016 23:46
@jordanbeauyo Awwwww 😍,29/12/2016 23:45
@KERI25 There are some days we just don't forget. 😉,29/12/2016 23:40
"@reemixtape Oh stop it, you’re making us blush. 😊 https://t.co/U94r65pu3C",29/12/2016 23:40
@nadiacorinne And here’s to many more to come. 🙌,29/12/2016 23:37
"@gdotbeaber @Anna_Marie03 We hate taking sides, but we’re rooting for Anna on this one.",29/12/2016 23:36
"Wherever your New Year's celebrations take you, share it with the world. #GoLive https://t.co/QM34ewSLRK",29/12/2016 16:01
"A beloved mother &amp; actress, rest in peace.
https://t.co/Ym1AFRqmDB",29/12/2016 02:32
@GoneFishkin We can’t handle the suspense. https://t.co/hVLjkyhCDl,29/12/2016 00:46
@colormeboy Someone say Twitter party? #2016In4Words https://t.co/yb1LKRXOP9,29/12/2016 00:44
@phillipreece The world is only one Tweet away.,29/12/2016 00:40
"@emmaplan Crazy, right? https://t.co/HgXB92TyAb",29/12/2016 00:39
@SkylarrMichelle TBH we’re excited for all of it. https://t.co/Rm07k4oeR1,29/12/2016 00:38
"Introducing live 360 video on Twitter and Periscope! 👀 🔄 
https://t.co/dAiZnHIsr7",28/12/2016 22:06
"New year, new you, new #Stickers.

#HappyNewYear https://t.co/TbiU9xDcAh",28/12/2016 17:06
@danielvielma94 How could we ever forget?,28/12/2016 07:05
@LisaKDeam @johnrcobb This is giving us all the feels. Love hearing about these kinds of meet ups.,28/12/2016 07:04
"@addie_hethcoat This is everything. You slay, Addie. You slay. https://t.co/rShIch1NcF",28/12/2016 07:04
@drienne_ And they called it Corgi love. 🎶 https://t.co/VT8OSz62MY,28/12/2016 07:03
@RosalieTinelli Pee-Wee Herman ➡️ Broadway ➡️ Winning tickets ➡️ Love Twitter ➡️ We love you back 💙,28/12/2016 07:03
"Artist. Activist. Princess.
1956-2016

https://t.co/qS500Z1KRH https://t.co/6D1MYguOs7",27/12/2016 20:00
"Genius songwriter. Electric soul. Icon. 

You will be missed.

https://t.co/Lq4yd669D0",26/12/2016 00:24
"The block. The shot. The rematch.

Tune into ABC and watch @Warriors and @Cavs exchange gifts on Christmas Day.… https://t.co/HkLRzxZApy",25/12/2016 18:45
"Send love.
Send joy.
Send n...ice holiday wishes. https://t.co/sRmDplmRgF",24/12/2016 16:01
"The perfect start to the weekend.

Catch the recap from last night’s #NYGvsPHI live stream.👇 https://t.co/vtoZBDEeLF",24/12/2016 01:28
"That's the game and a wrap for #TNF LIVE on Twitter!

Thanks for joining us on Thursdays this season.",23/12/2016 04:38
"One half down. One to go.

Catch the second half of #NYGvsPHI streaming LIVE on Twitter. 👇

https://t.co/WdzHD98QAg",23/12/2016 03:05
"#TNF has arrived. 🙌

Tune in to #NYGvsPHI streaming LIVE on Twitter.

https://t.co/WdzHD98QAg",23/12/2016 01:29
"Get warmed up!

The #TNF pre-game show is LIVE, right here on Twitter. 

https://t.co/WdzHD98QAg",23/12/2016 00:35
"Don’t miss @Giants vs @Eagles, streaming LIVE on Twitter! #TNF

Go to Moments or https://t.co/WdzHD98QAg to watch. https://t.co/gOfKtS2apZ",22/12/2016 23:38
@OBJ_3 You can watch with one hand. https://t.co/cD8zreOdaY,22/12/2016 20:43
"NFL Playoffs are at stake.

Who’s going home with the win from tonight’s #TNF matchup?",22/12/2016 20:26
"Thursday means #TNF! Every snap of #NYGvsPHI streams LIVE right here on Twitter.

Go to Moments or https://t.co/WdzHD98QAg to watch.",22/12/2016 18:10
"@BeccaZ We love it, now let’s talk about that pumpkin cheesecake. 😉 https://t.co/j4giVUcPTZ",22/12/2016 00:25
@markibiscuit And what a beautiful second family you have. 🤗,22/12/2016 00:24
@Landonsn Suh dude. ✌️,22/12/2016 00:24
@nyancat9091 Like fur-real this is litter-ally purr-fect.,22/12/2016 00:23
@ffgarrison If we didn’t know any better we would have thought that beard was real…😏,22/12/2016 00:23
"@robertjackcook WE DO, WE REALLY DOOOOOOOOOO.",22/12/2016 00:22
"#TNF is back in action TOMORROW! #NYGvsPHI streams LIVE, right here on Twitter. 

Go to Moments or https://t.co/WdzHD9qrrO to watch.",21/12/2016 22:35
"Why does the shortest day of the year seem like the longest? #WinterSolstice

https://t.co/TWXHo2ysLV",21/12/2016 20:07
@wesleysnipes There's only one Willie Mays Hayes in our eyes.,21/12/2016 02:17
@jadedlxve This is everything. 🙌,21/12/2016 02:16
@javaadbeg Now you’re just making us blush. 😊,21/12/2016 02:16
@IamShortiePiexo We've heard that's where the heart is. ❤️,21/12/2016 02:16
@chinozc Make sure to send us a postcard. https://t.co/3sMy1zUTXv,21/12/2016 02:16
"@DoctorChristian We may not be a doctor, but we’re always here for you. 😊",21/12/2016 02:15
@muddymudskipper @wesleysnipes True. His Twitter is 🔥.,20/12/2016 22:35
"@Jamie__Sharples Tbh, not the worst idea. 😴",20/12/2016 22:35
@ItsSuperJhakez We have so much in common. https://t.co/l6Gc6Kv4SH,20/12/2016 22:34
"@ZappullaJ @jimmykimmel What happens in the drafts, stays in the drafts...",20/12/2016 22:34
@HANNAHYPENA Just seeing this Tweet alone is melting our heart! 😍,20/12/2016 22:33
"@selenriana @sleepinwithari @holdinmoonlight Friends that Tweet together, stay together. 🙌",20/12/2016 22:33
"You made our year, and you made our year, and EVERYBODY made our year!!! #PeopleWhoMadeMy2016 https://t.co/7OeqBnU2ye",20/12/2016 22:12
"By car, plane or sleigh — where are you heading for the holidays? #TravelTuesday https://t.co/bEjPM51QqY",20/12/2016 19:48
"@MrGeorgeWallace Whether it be on stage, off stage, or right here on Twitter, you make us laugh and we appreciate you for that. 🙌",20/12/2016 05:42
@dickmildredsara In love!?!?! https://t.co/rglezsmfOH,19/12/2016 23:14
"@SusieRants Susie, thanks for being you. It’s nice having you here. 🤗",19/12/2016 23:13
@Katie_Ferrell @MarkTaylorNBC4 This is what dreams are made of. https://t.co/a7ywHIITbE,19/12/2016 23:13
"#NYGvsPHI goes down Thursday, streaming LIVE on Twitter!

Tweet your predictions with #FlyEaglesFly or #GiantsPride
https://t.co/x9oX92S8ga",19/12/2016 22:12
"For all you taught us of glamour and grace.

https://t.co/JIiA85zTHq",19/12/2016 01:09
"Saving the day &amp; stealing our hearts. #SuperKaheem

https://t.co/jUfm6yFo5N",17/12/2016 16:07
@Common_Isaac https://t.co/CP5yiEAmDy,17/12/2016 01:51
"@aosmani24 It's the little things in life, like digital Twitter balloons. https://t.co/TVEUI35oSp",17/12/2016 01:50
@LaraKealiiBeck When it's been 5 minutes and nobody's liked your Tweet... https://t.co/oWMWND8TPu,17/12/2016 01:49
"@MekanSSJ As the ancient proverb goes:

A phone does not Tweet if a phone does not charge.

...Or something like that. 🤔",17/12/2016 01:37
@juscallmejames Really helps in these kinds of situations... https://t.co/lesxsk46nu,17/12/2016 01:36
@Jennaevann Yeah she did. https://t.co/oYWLBHEBRv,17/12/2016 01:31
@hankgreen Now can we get a minute of you trying to Nae Nae?,17/12/2016 01:29
All the best from on the field and on your timeline about last night’s #TNF matchup! https://t.co/VymqXslcpU,17/12/2016 00:28
"That's a wrap for #TNF 

We're back next week as NFC East rivals @Eagles and @Giants battle LIVE on Twitter. 

https://t.co/WdzHD9qrrO",16/12/2016 04:44
"Halftime ends - action begins. 

Stream the 2nd half of #TNF LIVE on Twitter.  

https://t.co/WdzHD9qrrO",16/12/2016 03:21
"#TNF is LIVE!

Don't miss a snap of #LAvsSEA, streaming LIVE on Twitter.

https://t.co/WdzHD9qrrO",16/12/2016 01:27
"#TNF is back, streaming @RamsNFL vs @Seahawks LIVE on Twitter!

Go to Moments or https://t.co/WdzHD9qrrO to watch. https://t.co/ver6KMmtSi",16/12/2016 01:00
"Get your game face on. 
#TNF pregame coverage is LIVE. Tap below to tune-in. ⬇️ 

https://t.co/WdzHD9qrrO",16/12/2016 00:32
@Fascinatingpics You got our bad side. 😉,16/12/2016 00:23
@corvoor https://t.co/rwuHiReluE,16/12/2016 00:23
"@PTXofficial Did somebody say, TWITTER PARTY?!?! https://t.co/A11K5gNXJp",16/12/2016 00:22
"@Kidrauhl_Benz Once a birthday twin, always a birthday twin. 🙌",16/12/2016 00:19
"The battle for the playoffs continues. 

Will the @RamsNFL stand in the @Seahawks way?",15/12/2016 23:34
"We've been waiting all week for #TNF. #LAvsSEA is streaming LIVE at 8pm ET!

Go to Moments or https://t.co/WdzHD9qrrO to watch.",15/12/2016 17:01
"@emartineeez It’s okay, we don’t mind. 😉",15/12/2016 02:14
@KameronBennett https://t.co/W8DzR3AEYR,15/12/2016 02:14
@smteachernwtc @SMExaminer https://t.co/FVWHhLQemY,14/12/2016 22:18
@KrishnaDe Thanks for noticing! See ya around! 😎 #GoLive,14/12/2016 22:01
@Pastor_Omar_ @periscopeco https://t.co/WqXYkQTBFo,14/12/2016 22:00
"Stick to your diet. 

Dig in with food #Stickers https://t.co/z5eerA4GFV",14/12/2016 17:03
@cathyisglobal No time limit 🙌,14/12/2016 16:40
@ProductHunt @periscopeco 😎,14/12/2016 16:14
@ashahmoradian It will continue to roll out over the coming days. You should be good to go soon!,14/12/2016 15:37
"@markshaw @samsheffer Hey Mark, we got you!

@JimConnolly We've started rolling it out globally 🙌",14/12/2016 15:34
"@JohnPCordray The comments will still show up in your live video directly, just like they would if using Periscope.",14/12/2016 15:29
@markshaw @samsheffer Boom! Check your app 👊,14/12/2016 15:26
@LatinPoint Looks like the test was a success! 👏,14/12/2016 15:23
"@TornikeLaghidze @periscopeco Yep! We're still rolling this new feature out, so you'll be able to #GoLive straight from Twitter! 😎",14/12/2016 14:35
We're making it easier for you to share what's happening in your world. Now you can #GoLive on Twitter!… https://t.co/H4FLIRVSau,14/12/2016 14:02
"Don’t miss a minute of the action! #LAvsSEA streams LIVE on Twitter this Thursday!

Go to Moments or https://t.co/WdzHD9qrrO to watch.",14/12/2016 02:03
@christinakucc https://t.co/bmmPhiGnnU,14/12/2016 01:28
@christinakucc https://t.co/7u3JGhAXe4,14/12/2016 01:27
@christinakucc https://t.co/eDLcb6Jp6K,14/12/2016 01:26
@christinakucc https://t.co/gyQYiztDDO,14/12/2016 01:25
@christinakucc https://t.co/FbbCZoIS6A,14/12/2016 01:24
@christinakucc https://t.co/t61Dac4KnN,14/12/2016 01:24
"@Manni_NFA It's your birthday, you can do what you want. 🎈",14/12/2016 01:17
"#ThisHappened

https://t.co/A3JvjQX529 https://t.co/0SUG5EcxPE",14/12/2016 00:53
"@erickramce No, thank YOU. Now let's celebrate! https://t.co/6vFTeZxLAM",13/12/2016 02:24
@aikamariee Awwww. https://t.co/tfCJWaHwcv,13/12/2016 00:31
"@latelateshow One might even say, “It’s lit.”",13/12/2016 00:29
"#TNF is streaming LIVE this Thursday for #LAvsSEA!

Tweet who you're rooting for by using #MobSquad or #WeAre12
https://t.co/DtofjybbbO",12/12/2016 22:18
"Rebellions are built on hope.

The @starwars #RogueOne cast Q&amp;A replays are streaming tomorrow and Wednesday, right… https://t.co/Mn4eBILspf",10/12/2016 20:37
"Relive 2016 through the eyes of the world as people shared their favorite memories with #ThisHappened
https://t.co/hLx6ukAPST",10/12/2016 17:07
We won't forget these 2016 Moments any time soon. #ThisHappened https://t.co/k3iK070XWA,10/12/2016 00:30
"Last night tho 🏈 👀

Take a look at the greatest plays and best Tweets from #OAKvsKC. https://t.co/X4jYv394Tq",09/12/2016 23:22
"@jamesnix40 Well done, James. Well done.👏 https://t.co/q4aOo2Lg5f",09/12/2016 22:34
How can we help make this happen? @chancetherapper @JKCorden https://t.co/8BvCLWq3vG,09/12/2016 21:29
"@jamesnix40 Find the limit of this equation and we'll Retweet.

lim x→0 : (ln(1-x) – sin(x)) / (1-cos²(x))",09/12/2016 20:56
"That's a wrap for #TNF

Tune in next week for @RamsNFL vs @Seahawks streaming LIVE on Twitter.
https://t.co/WdzHD9qrrO",09/12/2016 04:46
"One half of football to go in KC. 🏈

Stream the 2nd half of #TNF LIVE, right here on Twitter!
https://t.co/WdzHD9qrrO",09/12/2016 03:18
"#TNF kicks off now. 🙌 

Tune in for #OAKvsKC streaming LIVE on Twitter!
https://t.co/WdzHD9qrrO",09/12/2016 01:27
"“The moment of twilight is simply beautiful.” 
John Glenn #RIP

https://t.co/A3AvuSRTbF https://t.co/VHaTcZVKcP",09/12/2016 00:12
@noneshall_pass *Gasp* https://t.co/ppQECcHShQ,08/12/2016 23:50
@elikisnowkitten https://t.co/FDgOz55APm,08/12/2016 23:49
@JohnLegere Can't stop. Won't stop. https://t.co/0kIzpae5ko,08/12/2016 23:47
@RogersBase https://t.co/h0y5hO8OpH,08/12/2016 23:45
@rayofhopect https://t.co/eBRyOhsdKd,08/12/2016 23:41
"#TNF is back, streaming @RAIDERS vs @Chiefs LIVE on Twitter!

Go to Moments or https://t.co/WdzHD9qrrO to watch. https://t.co/Vx3fhGg2ZW",08/12/2016 23:34
@felicia014 https://t.co/l9o6XEdWEv,08/12/2016 23:20
"With the AFC West title on the line, who’s tonight’s #TNF winner?",08/12/2016 22:08
"Tonight’s the night. #TNF

Tap through at game time to catch #OAKvsKC streaming LIVE on Twitter. ⤵️

https://t.co/WdzHD9qrrO",08/12/2016 17:30
@sara_badara Did someone say cute animals? https://t.co/dOHO8keL5x,08/12/2016 02:40
"The @TIME Person of the Year 2016 is @realDonaldTrump. #ThisHappened

https://t.co/xE3zc5XAOe https://t.co/RDk78WY9z3",07/12/2016 22:22
"From📱 to 📺

We’ve been named @AppStore’s Apple TV App of the Year for 2016! 🎉
https://t.co/krf9thhhxI",07/12/2016 21:48
Need a break? Mute can help. #TwitterTips https://t.co/uL33y2Jata,07/12/2016 17:04
"We loved 😍
We laughed 😂
We cried 😭

#ThisHappened https://t.co/ftmscI3K2B",06/12/2016 23:09
@NadinVonS https://t.co/sp4nOzivhz,06/12/2016 23:01
@miss_lady_diva 💜💜💜,06/12/2016 22:59
"@ElizabethBanks 💁

https://t.co/gy9r0VMAw5",06/12/2016 22:54
@klara_wykoff All time low? More like all time high. 🙌,06/12/2016 22:52
From the classroom to 2016's top trending challenge. #ThisHappened https://t.co/yUdQiFnOcW,06/12/2016 22:19
"@TheEllenShow Just keep swimming. Just keep juggling. Just keep Tweeting. ❤️ #ThisHappened
https://t.co/kHJXgoMYQv",06/12/2016 21:30
@thatpeterfox https://t.co/FtYFH3Aa7e,06/12/2016 20:22
@stefi_mohottige https://t.co/jnmCmidUhT,06/12/2016 20:20
@buggaie0512 https://t.co/DhLjjb9Kb8,06/12/2016 20:20
@scorpiusphan ~ Twitter replied to your Tweet.,06/12/2016 20:19
"""Don't count the days, make the days count."" - Muhammad Ali

#RIPAli #ThisHappened https://t.co/wGknb0rrfm",06/12/2016 19:51
@deliakrueger https://t.co/64PrNCU3EL,06/12/2016 19:40
@Stratford_Zayn @zaynmalik https://t.co/e798xsnuyo,06/12/2016 19:39
@natalieevamarie https://t.co/745cxC826o,06/12/2016 19:38
@chancetherapper https://t.co/UGl3N2kFxm,06/12/2016 19:16
@JojoTheFangirl https://t.co/spS3H680Pz,06/12/2016 19:01
When we learned chivalry is dead on #GOT. #ThisHappened https://t.co/lHqMilTY3J,06/12/2016 18:35
@joshmcconnell https://t.co/MwBmyGg1Db,06/12/2016 18:13
