tweet,date_time,real_sentiment,real_distilbert_sentiment
"Don't try this butterfly knife trick at home, even if you emerged from a chrysalis. https://t.co/FoRjIyb87p https://t.co/2lsgYpwsAF",22/01/2017 18:00
A few days into #Sundance and we're already inspired. 😍 @TheGigiGorgeous and @TylerOakley explained how creators af… https://t.co/ZF74klCl7I,22/01/2017 02:32
This kid carries a beat around the entire world. https://t.co/8mu2fLlJo8 https://t.co/CkAzvrE8YJ,21/01/2017 22:30
.@troyesivan finds Heaven: https://t.co/ZJFzFsxUGN https://t.co/F4o2drsVwn,21/01/2017 20:00
"🖱💢🖱💢🖱💢🖱💢🖱
💢🖱💢🖱💢🖱💢🖱💢
🖱💢🖱💢🖱💢🖱💢🖱
💢🖱💢🖱💢🖱💢🖱💢
🖱💢🖱💢🖱💢🖱💢🖱
💢🖱💢🖱💢🖱💢🖱💢
🖱💢🖱💢🖱💢🖱💢🖱
💢🖱💢🖱💢🖱💢🖱💢
🖱💢🖱💢🖱💢🖱💢🖱
💢🖱💢🖱💢🖱💢🖱💢
🖱💢🖱💢🖱💢🖱💢🖱… https://t.co/3gR3vijd86",21/01/2017 18:30
"This year’s hottest travel hack? 

✨ i m a g i n a t i o n ✨ https://t.co/lmo3aZPIYP https://t.co/soG7jKLEZR",21/01/2017 00:30
"Nick Offerman has a lot of feelings about firewood. 

We’re not surprised. https://t.co/9OQItKiwae https://t.co/Ds0gP4ymmx",20/01/2017 23:55
"Wander through this entrancing video from @Si_Bonobo and @nick_murphy, “No Reason” → https://t.co/oa7nYcUbeO https://t.co/xzbmiqyXd8",20/01/2017 23:30
@MKBHD It’s the little things that make all the difference. Looking good!,20/01/2017 23:19
@RomanAtwood NOOOOOOOOOOO,20/01/2017 23:18
@ProSyndicate It happens to the best of us.,20/01/2017 23:18
@rhettandlink We're a little concerned about you two.,20/01/2017 23:17
@harto Gone 😭 Too 😭 Soon 😭,20/01/2017 23:17
"You had us at … VHS. 📼 

14,000 copies of ""Jerry Maguire,"" anyone? https://t.co/RVckrxj6LE https://t.co/Eom6AMnQqf",20/01/2017 23:00
Pro Curling 2k17 finally got some DLC → https://t.co/Zx0fTv8EKU https://t.co/Kt28q9F4aQ,20/01/2017 22:30
Have you ever seen a more stern look aimed at a kitty? https://t.co/gbM4tflYjz https://t.co/JfbNLzVJqA,20/01/2017 21:29
[LIVE] The inauguration of the 45th President of the United States → https://t.co/1h3aOcQM3D https://t.co/0YxP1FR8Dw,20/01/2017 16:26
🤖  &lt;( Mm I love cake ) https://t.co/F5SqQxgGmn https://t.co/s6iGPVCFrj,20/01/2017 01:15
The nicest-sounding “Trainwreck” ever is one starring @hernameisbanks → https://t.co/uf6JrqpEQa https://t.co/xqO8AzeTTa,20/01/2017 00:55
This video of a DIY planetarium is universally relatable → https://t.co/iBCMWTHpCq https://t.co/fRm7tVHiYV,20/01/2017 00:15
@lizakoshy Karma.,19/01/2017 23:35
"Wait, is this a trailer for ""D4: The Mighty Ducks Return""? https://t.co/9lB5aofaKi https://t.co/ugQVBjkTxk",19/01/2017 23:35
"@AsapSCIENCE *looks down at our hands we just sanitized*
😳
*clicks play*",19/01/2017 23:35
@TobyTurner Gotta stay fit. 💪,19/01/2017 23:34
@IISuperwomanII @peopleschoice Congrats Lilly! 🏆 SO deserved. ❤️,19/01/2017 23:33
When the escalator’s broken but your buddy needs to get to the comfy workout pants sale → https://t.co/aj7KFXsYTH https://t.co/9nI6uFJLw1,19/01/2017 22:45
"Cue the dramatic music, because this slow-mo video is crushing. https://t.co/f8CdzoGBbw https://t.co/X5qSurAMeS",19/01/2017 22:12
"They’ve tried it all … except hosting a reality show. 

Watch the Try Guys learn the ropes for #SquadWarsShow →… https://t.co/f55i41p8ap",19/01/2017 20:44
"It’s fast … but does it have heated seats? 

A close look at the 1954 Jaguar D-Type → https://t.co/1GpCKQGkaa https://t.co/UN7y86mqzD",19/01/2017 01:30
"Dance like nobody’s watching, except a demanding 4-year-old who expects absolute perfection →… https://t.co/BaU5EF0oKr",19/01/2017 00:30
@lifeaseva 😍 this aesthetic 😍,18/01/2017 23:06
@gregorybrothers Please make this a series.,18/01/2017 23:05
@mitchellmoffit @Whalewatchmeplz Whatever you say …,18/01/2017 23:04
@sortedfood W O W,18/01/2017 23:03
@sWooZ1e Worth it. (Feel better!),18/01/2017 23:03
A makeup routine that’s v chill. https://t.co/l5cLq7trnf https://t.co/SJNuvFHdZD,18/01/2017 22:30
"How many @NSYNC references are too many @NSYNC references?

Find out in the latest episode of #FoursomeShow →… https://t.co/QBhVjoE2Mx",18/01/2017 21:36
Let’s get this Wednesday poppin’. https://t.co/DBYRmrRHYC https://t.co/Cf84WBifQC,18/01/2017 21:26
"Experience @TheGigiGorgeous's incredible journey. 

#ThisIsEverythingDoc is heading to @SundanceFest on 1/24 and on… https://t.co/1SdQyyXnNw",18/01/2017 18:56
"Would you choose pain over boredom?

Explore the mind with @tweetsauce in #MindFieldShow now →… https://t.co/SNLqlUluh2",18/01/2017 18:02
"You’re gonna flip for this one.

First female wheelchair backflip → https://t.co/JtYreYmX0s https://t.co/ISQCHRpaPh",18/01/2017 01:30
Five legendary defenders hit those high notes → https://t.co/GrFVBn4KqA https://t.co/szQxTvHClL,18/01/2017 01:00
"Sorry, but this eagle is cooler than your frenchie. https://t.co/A79p3RMfrk https://t.co/XpjrZ3IMWP",18/01/2017 00:30
The baddest minton you’ll see today. https://t.co/inCkoHl9Ub https://t.co/0J6ZtU8LxR,18/01/2017 00:00
Run the world. https://t.co/MXrkn2yapx https://t.co/PyeioBghSd,17/01/2017 23:42
@kingsleyyy @tyleroakley @LukeFontana If it doesn’t get AOTY at least put it in a museum.,17/01/2017 22:45
@Kingkeraun Happy birthday to you AND @FLOTUS 😘🎉,17/01/2017 22:44
@yolanda_gampp We want it all. 🧀🍦🌶🌭🍍🍉🍿🍔🎂,17/01/2017 22:43
@SimoneGiertz And it straight up snatched that wig.,17/01/2017 22:41
@ConnorFranta This cover. 😍😍😍,17/01/2017 22:40
"Tuffy is uncaged and unbearably cute. 

A bear’s first day of freedom → https://t.co/SOGzCEESXz https://t.co/ISw2yGr05h",17/01/2017 22:30
"You know nothing, Jon Cello. 

A “Game Of Thrones” medley → https://t.co/JdHpzf3aDL https://t.co/147IjghkiF",17/01/2017 21:53
✨  🦄  💁 🦄  💁 🦄  💁 🦄  💁 🦄  ✨  https://t.co/oUBeOvzw01 https://t.co/cOZGX2m7Cj,16/01/2017 21:00
A collection of videos honoring the life and legacy of Martin Luther King Jr.→ https://t.co/AelkppEMHD https://t.co/oAludbYaBs,16/01/2017 16:00
You won’t believe what @bradhall_shoes does in these YEEZY Season 3s. https://t.co/XVXAIVCBNj https://t.co/3k4rRg5Z1d,15/01/2017 18:00
"My Beautiful Dark Twisted Soap Opera. 

A dramatic episode written entirely in Kanye lyrics →… https://t.co/Cj0WYC1GVt",14/01/2017 21:30
"Can you sing with all the voices of the mountains?
Can you ski with all the colors of the wind?… https://t.co/vBHQVq7zVW",14/01/2017 18:21
Psychedelic sleepover with @TheFlamingLips → https://t.co/bfjTJCBlqd https://t.co/OcfJQM45Vu,14/01/2017 01:00
"“What goes through your mind when you’re running?”
“When will it be over!”

An 85-year-old marathoner →… https://t.co/UoQJ7N4wzT",14/01/2017 00:00
Backflipping into winter like … https://t.co/4i7rbESSGp https://t.co/4abWfUbKfO,13/01/2017 23:00
@todrick *slips on ruby slippers and watches this masterpiece again*,13/01/2017 22:53
"@tyleroakley Small steps, Tyler, small steps.",13/01/2017 22:52
@TheGigiGorgeous We want to go to there. 😍,13/01/2017 22:52
@mametown We missed our favorite aunts.,13/01/2017 22:50
Meet Dan Mancina. He’s blind and he skates and that is AMAZING. https://t.co/XpIkQ8NXfO https://t.co/GFNxoLgCBo,13/01/2017 22:17
It’s Friday the 13th and we got your soundtrack right here → https://t.co/JxW986Ws6B 😱 😱 😱 https://t.co/VFUchHb3qq,13/01/2017 18:54
"It’s #NationalGlutenFreeDay, but um, did we happen to say … https://t.co/JOzZfUQIO1 https://t.co/Qk5k3VsgOR",13/01/2017 17:58
"The Starboy is a #PartyMonster. 

Let @theweeknd take you on a ride → https://t.co/oXmAowQ7Fd https://t.co/hTHxVvN9Xk",13/01/2017 01:30
"They will survive. 

Actors sing Gloria Gaynor’s iconic anthem → https://t.co/tlWjoG8aQ0 https://t.co/txj4rnr3zb",13/01/2017 01:00
"📸 📸 📸
@Sia’s ready for her closeup.
#MoveYourBody → https://t.co/STncxyk6KO
📸 📸 📸 https://t.co/Tl5bjgUu73",13/01/2017 00:30
When it’s a snow day and you promise to be productive but end up on the couch → https://t.co/IcUpboEeDm https://t.co/k9Qp8Ivu2r,13/01/2017 00:00
"Wubba lubba dub dub! 

Rick and Morty 8-Bit Intro → https://t.co/5PmhOAvK1X https://t.co/euciuGQ2nV",12/01/2017 23:30
"@cjsocool1 In the end, that’s what really matters. 👏👏👏",12/01/2017 23:09
@hankgreen We get that a lot too.,12/01/2017 23:08
@GloZell @kandeejohnson @Awestruck 😱 It’s a whole new you!,12/01/2017 23:07
@ColleenB123 So many queens! 😍😍😍,12/01/2017 23:06
@IISuperwomanII That’s the work ethic we should all strive to have. 💪,12/01/2017 23:05
Mmmmmm. Smartphone juice. https://t.co/tZM4mIPL0O https://t.co/JhxSVW8EEd,12/01/2017 23:00
Hey! Bo Loo Loo!!! https://t.co/UtVYoqKde5 https://t.co/4vhzpFmrqL,12/01/2017 22:30
It’s all about @internetsyd. https://t.co/VbDPD18C3q https://t.co/WLMtrgUfLb,12/01/2017 22:01
Did you know some of @eltonofficial’s hits don’t have music videos? We want to change that with your help:… https://t.co/8MWCBcZisl,12/01/2017 19:01
What magical mysteries lie at the bottom of Excel spreadsheets? Only one way to find out. https://t.co/JSW4SOdxjA https://t.co/gqhGFYPNqF,12/01/2017 00:30
"Meet @sanrio’s #Aggretsuko, a red panda who works in an office by day and rages to heavy metal at night.… https://t.co/imUtFjbtbj",11/01/2017 23:30
@BailieInABottle Sorry Kermie! 😅,11/01/2017 23:14
"@KurtHSchneider 🎉 Congrats, Kurt! 🎉",11/01/2017 23:14
@Zoella Too cute to handle. 🐶😍,11/01/2017 23:13
@saradietschy Sara you might want to invest in a helmet or something.,11/01/2017 23:13
@sWooZ1e 🤗,11/01/2017 23:12
"Slumber parties! Escape rooms! Schemes! 

This week’s #FoursomeShow has arrived → https://t.co/ZQIYwaxMew https://t.co/QnWdqL2gFN",11/01/2017 23:04
Is that a monster in your pocket or are you just Wasei-eigo? https://t.co/boKOTOFTgc https://t.co/u2PKtv9rHo,11/01/2017 23:00
.@duttypaul and @DuaLipa are here so you know it’s gonna be lit tonight. https://t.co/zB6cONCJNn #NoLie https://t.co/8KXTqkEPWT,11/01/2017 22:30
It’s #NationalMilkDay so get to dunkin’. 🍪 + 🥛 = 😃 https://t.co/QNUNwx7Cyc https://t.co/3uuEppI3yd,11/01/2017 22:02
"#MindFieldShow = mind blown.

Get ready to learn a lot about human behavior in this #YTRedOriginals series →… https://t.co/VJPwXdC7O2",11/01/2017 19:44
"You’re invited to the best 🎉 party 🎉 ever 🎉

AKA #AlexanderIRL. Watch now → https://t.co/WO7s1TLpD5 https://t.co/D8t4z4qOZx",11/01/2017 18:57
ICYMI here’s @BarackObama’s Farewell Address to the American People → https://t.co/e4eMsjE2oN https://t.co/KipFoMD9u2,11/01/2017 16:42
🔴  [LIVE] President @BarackObama’s Farewell Address starts now → https://t.co/JEZclRicMn https://t.co/unVnGKLkNG,11/01/2017 02:00
Will you skate with @marshmellomusic and @lelepons? https://t.co/ojWFnzbNy5 https://t.co/iRTA3JIDoG,11/01/2017 01:30
"Rita Repulsa will be played by a vacuum cleaner. 

#MeowerRangers teaser  → https://t.co/4dNoHnOxvG https://t.co/W4tDNljPRI",11/01/2017 01:00
"Love colors.
Love clip art. 
Love life.

Psychedelic @HifiSean track, feat. @yokoono → https://t.co/7ObPTG2yZc",11/01/2017 00:30
"Who is she?

Tracking down the most iconic frog in the world → https://t.co/LGjIW6DwNJ https://t.co/Iv3Vxpus8Q",10/01/2017 23:55
@redsred4u 👋👋👋,10/01/2017 23:26
@AmazingPhil We did and it was a little prickly.,10/01/2017 23:25
"@wolfieraps Congrats, so deserved! 🙌🎉",10/01/2017 23:24
@johngreen *cries quietly and whispers* Okay? Okay.,10/01/2017 23:24
@TTLYTEALA @IISuperwomanII We have so much love for this love. ❤️,10/01/2017 23:22
Yo! His name’s @DaveedDiggs and he’s here to say he loves rubber duckies in every way. 🐥🐥🐥 https://t.co/bUlxGeP8Gu https://t.co/ZX5NCm26T1,10/01/2017 23:20
"Literally, no thanks. https://t.co/E6d8CP51sV https://t.co/F4qsrUNPkY",10/01/2017 22:55
".@BebeRexha’s written songs for David Guetta, G-Eazy, and Nick Jonas. 

Now hear her single “I Got You” →… https://t.co/xgrS8hwKqC",10/01/2017 22:15
Uncovering the rich history of Russia: ANIMATED! https://t.co/0ZW1qt55Tw https://t.co/Ahu4YgNvxd,10/01/2017 01:30
"""Society doesn't correlate disability w/ being attractive...but we CAN be stylish, gorgeous, stunning &amp; FABULOUS.""… https://t.co/dDckmYk0dE",10/01/2017 00:55
"When your life feels like a three-ring circus, maybe it’s time for a job change. https://t.co/6zsB0WOHpB https://t.co/vRXMWnTapc",10/01/2017 00:30
"🚫 NO
🚫 PANTS
🚫 ALLOWED 

https://t.co/NeBE7rVs7V https://t.co/qzyWSZ5iV4",09/01/2017 23:45
"🍃🌿🌱👹🌱🌿🍃 

A chilled-out animated jungle adventure with @cheloumusic → https://t.co/NGHrusmHYG https://t.co/BgsY1KzCoD",09/01/2017 23:00
@AnnaAkana Cats + reviews + space jokes = our kind of content,09/01/2017 22:48
@sWooZ1e heyy,09/01/2017 22:47
@RomanAtwood Two HUGE accomplishments! Congrats. 🎊🎄,09/01/2017 22:47
@gracehelbig Real talk: Why didn’t anyone serve Vacation Dad Realness at the Golden Globes?!,09/01/2017 22:46
@rhettandlink Here’s to another five years of GMM! 🎂🎉,09/01/2017 22:45
"❄️ BRRRRR ❄️ 

360° polar plunge → https://t.co/dcdHQzDumR https://t.co/5DDP7GATp7",09/01/2017 21:57
"When this baby hits 100 MPH, you’re gonna see some serious stuff. https://t.co/J1x6KfgoVK https://t.co/PANajl5JKw",08/01/2017 23:30
Grime MC @Elfisworld goes from the UK to Ethiopia for “Reload That” → https://t.co/I98UweHy6F https://t.co/AkrBxIEJJ7,08/01/2017 21:00
"If you ever wanted to feel like a graceful snowbird, this is your chance. https://t.co/KOFU2UgRpR https://t.co/Vhr762tk8K",08/01/2017 16:24
70 people tell you their goals in life. What’s yours? https://t.co/4oIDfNvWz4 https://t.co/FYt3kwVrEx,07/01/2017 21:00
"Hey, Miss Murder can I … put on a new @AFI song? 

“Snow Cats” → https://t.co/MSp8GhHbFL https://t.co/qd684AsQTw",07/01/2017 17:30
Relax with @DirtyProjectors in a Little Bubble → https://t.co/nzZQ2unR1J https://t.co/URZCUDjxMg,07/01/2017 00:00
"Get ready to feel the feels 😚  😍  💋

@edsheeran’s in love with the #ShapeOfYou. https://t.co/1KlFjYTHFn https://t.co/L04hJfsLoz",07/01/2017 00:00
.@Tinashe just dropped the highly anticipated video for #Company. Get ready → https://t.co/JcyrUZC6Wb https://t.co/esPGptJWmZ,06/01/2017 23:00
@JoeyGraceffa 🙈🙈🙈,06/01/2017 22:30
@lizakoshy Never give up when it comes to dad jokes.,06/01/2017 22:30
@jennmcallister [Adele voice] the outside,06/01/2017 22:27
@GloZell 🎶 We’ve been watching this all night. We’ve been watching this all day. 🎶,06/01/2017 22:26
@allicatttx We can’t wait either.,06/01/2017 22:25
.@edsheeran ponders the passing of time as he points himself homeward in the lyric video for #CastleOnTheHill.… https://t.co/471VqqOTr8,06/01/2017 22:00
"The song that’s stuck in everyone’s heads today … https://t.co/twGU8Q5arp 

Happy #BeanDay! https://t.co/sKY06Lt9VJ",06/01/2017 21:12
"Tell ‘em toy, bye. Toy, bye. https://t.co/zkQXT5nmta https://t.co/mxfyR8v7jK",06/01/2017 00:00
@RobertC71954164 😸,05/01/2017 22:48
@MKBHD Can’t wait for your take on everything!,05/01/2017 22:47
@MegsDeAngelis @IISuperwomanII 🙋🙋,05/01/2017 22:46
@SimoneGiertz The future is now.,05/01/2017 22:45
@thetomska T 👏 B 👏 T 👏,05/01/2017 22:45
Welcome to the world’s first poo-seum. It stinks here. 💩 💩 💩 https://t.co/CUxm67QQnX https://t.co/mFCBMnyCxK,05/01/2017 22:00
"🔪🍣🔪🍣🔪 sushi girl gang 🔪🍣🔪🍣🔪 

Japan’s only all-female sushi house → https://t.co/chhyZIqzkZ https://t.co/3i4cKQbJpK",05/01/2017 21:00
It’s #NationalBirdDay so we found this video for your cat → https://t.co/6wpigcjOMQ https://t.co/LPEkgdCvT3,05/01/2017 19:59
"He’s not afraid (not afraid)
To take a stand (take a stand)
Everybody (everybody)
Come take Arthur’s hand →… https://t.co/BCeF2koXHw",05/01/2017 17:59
"""Captain America: Civil War""

DIY edition → https://t.co/mTcYDFNmqg https://t.co/epsp50PElN",05/01/2017 01:45
"tfw the mystery deepens 

Chloe investigates … grandparents? → https://t.co/OZ01Tot4fk https://t.co/Zpw8nPdQLs",05/01/2017 01:15
Coming out isn’t always easy — here’s what it looks like. https://t.co/8LWhVK5Ko7 https://t.co/7R71i8GoYm,05/01/2017 00:45
"It’s a long way home for @Sia. 

“Never Give Up” from @LionMovie → https://t.co/CUtjnmrx5P https://t.co/O3yRKgnCvL",05/01/2017 00:15
"Two toys enter. Only one can survive. 

Iron Man vs. Kylo Ren in 360° → https://t.co/clYig2Uysy https://t.co/vgHDxBzfI3",04/01/2017 23:30
Especially if they snore. https://t.co/eNbNpxIVdI https://t.co/TgJh0gvOEj,04/01/2017 23:18
"Third-wheeling is never fun, especially when one wheel is your brother. 

Get ready for a weird #FoursomeShow date… https://t.co/pnfwJ81LMc",04/01/2017 21:37
@ConnorFranta Modern art.,04/01/2017 21:36
@natalietran Oh … that was ours …,04/01/2017 21:36
@ingridnilsen It’s the only way to travel. 💁🍞,04/01/2017 21:34
"@BoxPikachu 
👀 👀 👀
👀 🍝 👀
👀 👀 👀",04/01/2017 21:33
You better lose yourself … to #NationalSpaghettiDay 🍝 🍝 🍝 https://t.co/7lwmI9dpy9 https://t.co/cihsxOrzfU,04/01/2017 17:25
"Surprisingly, this is NOT how you house-train Whiskers. https://t.co/zTDXVHgQS4 https://t.co/BV1ofhLLIy",04/01/2017 01:30
Card tricks that won’t get you banned from Vegas → https://t.co/IIKCjmkXjh https://t.co/FwQBAWi7b6,04/01/2017 00:55
tfw ur walkin in a winter wonderland https://t.co/7bEer9SIGm https://t.co/aICLiEKYqV,04/01/2017 00:15
‘Cause he’s cooler than a polar bear’s toe nails. https://t.co/ndjYM7BCmQ https://t.co/MGALpV7dpi,03/01/2017 23:33
@rhettandlink That’s probably for the best. 🚫🔪,03/01/2017 23:21
"@ijustine We’ll only let you in our kitchen if you film it, OK?",03/01/2017 23:20
@gracehelbig @tyleroakley Ultimate 2017 inspiration.,03/01/2017 23:19
@yolanda_gampp We’re gonna need to take this on our next vacation.,03/01/2017 23:18
@markiplier Congrats! So deserved. 🎉,03/01/2017 23:18
"✨ Ta Daaaaaaaaa! ✨

@RosannaPansino and @markiplier just a made batch of super nummie Play Button Cupcakes.… https://t.co/SOrYly2itu",03/01/2017 22:17
"Happy #FestivalOfSleepDay! https://t.co/YmixsDiyZF 

  🌳    🌳         🐑       🌳
🐑🌾🐑🌾⍑⍑⍑⍑⍑🌾🐑🌾🐑 https://t.co/8scCuXxNeM",03/01/2017 19:42
The title says it all: Awesome &amp; hypnotic video filmed inside an impressive forgery using a massive pneumatic Hamme… https://t.co/9s35OPjasn,03/01/2017 01:47
CUT. IT. OUT. https://t.co/pNMA7qCow3 https://t.co/Sb8Ywibgrt,02/01/2017 21:34
"The times they are a-changin’ now, dude. https://t.co/TeU8G8GLUB https://t.co/0zA4LGbuBI",01/01/2017 01:30
OMG JUMP SCARES R US!!! 😱 😱 😱  https://t.co/ebi36sQIrw https://t.co/KkIe4TBSVw,31/12/2016 18:30
"KEEP THIS STUFF AWAY FROM CATS, MEOW! 🙀🙀🙀 https://t.co/R08apeBvyU https://t.co/8FJYoxSuBA",31/12/2016 00:30
"This took a lot of work work work work work.

Top Hits of 2016 in 3 minutes by @UsTheDuo → https://t.co/G0KQs81NTu https://t.co/qTyfRnPpCP",30/12/2016 18:00
Theodore Roosevelt vs Winston Churchill. Who won?  https://t.co/hdSNvLxlxU @ERBOfHistory https://t.co/64eSXEWrS2,30/12/2016 00:00
Happy holidays. Have some cute → https://t.co/h3LTMzQ3ee https://t.co/GbKM3P1E42,29/12/2016 19:20
"What a year 🙁  

A playlist of vids to remember 2016's fallen heroes → https://t.co/I9ZjNmNUkK https://t.co/PcpQOcy04c",29/12/2016 15:07
"Some wise words from the #ParanormalActionSquad.

Episode 8 up now → https://t.co/M7QsYJA4x8 https://t.co/EksvOIrDyG",28/12/2016 22:05
"International relations have never been so complicated.

Model UN changes everything in the latest #FoursomeShow →… https://t.co/Lt3PS3r9RJ",28/12/2016 19:44
"Now you can watch ""Home Alone"" in 8-bit, ya filthy animals→ https://t.co/aPSKifPlh2 https://t.co/2q7NmaEK2C",28/12/2016 02:00
Say yeah yeah yeah! https://t.co/KR5z4LbFiM https://t.co/iY0ye5HsGU,27/12/2016 23:00
🤖 soon 🤖  https://t.co/1hzWFIzg79 https://t.co/ubi4zDzgpG,27/12/2016 21:30
"Welcome to the land of 10,000 lakes. https://t.co/qR2QDrKdi8 https://t.co/NEqj4sWhOy",27/12/2016 01:00
The Hydraulic Press Channel's been on fire this year! https://t.co/CshAFxvcpK https://t.co/HWoNVQeJn5,26/12/2016 22:30
"Hey, look … penguins. https://t.co/Uad7inXxNS https://t.co/2WQNPMbB2U",26/12/2016 19:00
The Unipiper gets his Christmas groove on. https://t.co/alJ6npEZWO https://t.co/JlWes8xB0K,26/12/2016 01:00
"Super Mario, Run! For real. https://t.co/XTdIhsmFRb https://t.co/RGXbiNBRV3",25/12/2016 22:00
Spend your Christmas with @IAMLILBUB. https://t.co/wAWLyHsn0v https://t.co/YRrMt5rWg8,25/12/2016 20:30
"Seasons greetings from @gnash and YouTube
→ https://t.co/ZMB340ZR9v https://t.co/mpjBC7Tzif",25/12/2016 17:58
"You’ll shoot your eye out! Or will you?

Myth-testing Christmas movies with SCIENCE EXPERIMENTS →… https://t.co/JRXJpc0Ufj",25/12/2016 00:00
"These violent delights have totally radical computer generated endings.

Westworld gets a retro TV remake →… https://t.co/3oy74Y8z5C",24/12/2016 22:00
"🇯🇵 🚴 💨

Tour the streets of Tokyo with @nigelsylvester → https://t.co/6cqgsoDPAF https://t.co/C3pPscRjtE",24/12/2016 19:00
😀 😓😠 ← Pick one. https://t.co/lkXSXU2KCE https://t.co/C8qrejWwJS,24/12/2016 01:00
Here's why you won't be munchin' on Blitzenburgers this Christmas. https://t.co/ARWdwd6Pqd https://t.co/NVVndafQCy,23/12/2016 23:06
Dance like it's Christmas and you're a funky funky pine tree. 💃 🎄💃  https://t.co/SKiMKtJJkX https://t.co/rguZZ0SSIU,23/12/2016 22:05
In case you've been holding out for that pie in the sky … https://t.co/sgdTBwTDw1 https://t.co/By7QxoEm5e,23/12/2016 20:30
The life of a yo-yo virtuoso. https://t.co/Xcc8jLmgYS https://t.co/rsEJJJMcdh,23/12/2016 19:15
Think about how long this must've taken. https://t.co/eKUaXdeIb5 https://t.co/z0OJRMjPHB,23/12/2016 02:30
"On the first day of Christmas, her true love gave to her …

A total nightmare. https://t.co/heDbyZXnMj https://t.co/7XgeXL0Q0A",23/12/2016 01:30
"Bring it, Dwayne-a-claus!

@TheRock reinterprets a Christmas classic → https://t.co/yFtbmblXAM https://t.co/YeTmYcSoJJ",23/12/2016 00:30
"Christmas came early this year for @JohnLegend! Congrats on your 1 BN views for ""All of Me."" https://t.co/X0hnL6puRz https://t.co/Hib6rSLgm8",22/12/2016 23:37
All we want for Christmas is to understand why we love this @MariahCarey song so much. https://t.co/r7VEyb9Bff https://t.co/Nu3Pbsjmp8,22/12/2016 22:30
Darth Santa's back and now he's got a little helper. https://t.co/kEIEkLv2YT https://t.co/Uuxt3Ob66y,22/12/2016 21:33
"On the 12th day of Christmas #12DeadlyDays gave to us … one shocking conclusion. 

🎁 Watch now 🎁 →… https://t.co/hbU022BhIK",22/12/2016 21:03
@todrick @milliebbrown On a scale of 1 to 10 this is an Eleven.,21/12/2016 23:17
@JoeyGraceffa Our kind of Christmas party. 🎉❄️,21/12/2016 23:16
@ingridnilsen It’s the cherry on top of a great OOTD. 🍒,21/12/2016 23:15
@tweetsauce It’s so serene. 😍,21/12/2016 23:15
@AmazingPhil *resists the urge to make a “philisnotonfire” joke*,21/12/2016 23:14
"Get ready for @BrittanyFurlan to ghost you this Christmas. Literally.

Today’s 👻 episode of #12DeadlyDays →… https://t.co/iXMfwumhs1",21/12/2016 23:14
@ProSyndicate 🤔🤔🤔,21/12/2016 23:11
"And now a word from #ParanormalActionSquad’s resident a-hole …
Episode 7 up now → https://t.co/8rPioMs0TL https://t.co/wzRla5uccW",21/12/2016 21:36
"Get ready for #FoursomeShow: Unplugged

See what happens when the gang goes phone-less in this week’s episode →… https://t.co/poxKdhYVqn",21/12/2016 19:53
"@checkthepills ""Music comes first for me.  the chords, the melody, the cadence comes first.  All that leads to lyrics."" - @johnlegend",21/12/2016 19:03
"@EpicChicago13 ""Chrissy's really been in charge of Luna's Christmas presents.  I have no idea.  I focus on her mom's presents."" -@johnlegend",21/12/2016 19:02
